trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1324,False,"{'a': 0.5, 'e': 0.070792656883225294}",20,0,20.344712814317614,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
1325,False,"{'a': 0.5, 'e': 0.070651213060429596}",25,14,1.4338271024962943,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
1326,False,"{'a': 0.5, 'e': 0.070510051842580301}",25,9,30.58751608687312,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
1327,False,"{'a': 0.5, 'e': 0.070369172665032426}",20,2,28.535460585398482,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
1328,False,"{'a': 0.5, 'e': 0.070228574964269014}",20,7,-19.69835391451942,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
1329,False,"{'a': 0.5, 'e': 0.070088258177899113}",25,18,10.775851394867898,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1330,False,"{'a': 0.5, 'e': 0.069948221744655356}",30,9,28.66419887109925,"{0: 20, 1: 1, 2: 0, 3: 0, 4: 0}",1
1331,False,"{'a': 0.5, 'e': 0.06980846510439187}",20,16,9.51254364208516,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1332,False,"{'a': 0.5, 'e': 0.069668987698081844}",25,16,20.18934559972812,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1333,False,"{'a': 0.5, 'e': 0.069529788967815531}",35,20,24.854963168421815,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
1334,False,"{'a': 0.5, 'e': 0.069390868356797766}",20,13,11.965319247676986,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1335,False,"{'a': 0.5, 'e': 0.069252225309345994}",30,16,25.830694788754865,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1336,False,"{'a': 0.5, 'e': 0.069113859270887743}",30,18,10.600453793523233,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
1337,False,"{'a': 0.5, 'e': 0.068975769687958779}",20,8,19.279858291070198,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1338,False,"{'a': 0.5, 'e': 0.068837956008200488}",20,16,7.600225305676626,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1339,False,"{'a': 0.5, 'e': 0.068700417680358047}",20,0,-13.86117957733659,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
1340,False,"{'a': 0.5, 'e': 0.068563154154277911}",35,18,32.45728650122884,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1341,False,"{'a': 0.5, 'e': 0.068426164880905832}",20,13,12.005239113709912,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1342,False,"{'a': 0.5, 'e': 0.068289449312284478}",35,24,19.951280306030768,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1343,False,"{'a': 0.5, 'e': 0.068153006901551461}",20,15,-32.791531463004375,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 1}",1
1344,False,"{'a': 0.5, 'e': 0.068016837102936878}",30,19,7.331893655021963,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
1345,False,"{'a': 0.5, 'e': 0.067880939371761442}",30,21,16.688376305634332,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1346,False,"{'a': 0.5, 'e': 0.067745313164433968}",30,17,26.373978683818493,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1347,False,"{'a': 0.5, 'e': 0.067609957938449497}",20,8,5.807101944482978,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
1348,False,"{'a': 0.5, 'e': 0.067474873152386899}",35,22,23.917863817499963,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1349,False,"{'a': 0.5, 'e': 0.067340058265906916}",20,12,14.489415305052848,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1350,False,"{'a': 0.5, 'e': 0.067205512739749756}",35,18,27.477036660016843,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1351,False,"{'a': 0.5, 'e': 0.067071236035733187}",30,17,23.872158824024584,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1352,False,"{'a': 0.5, 'e': 0.066937227616750153}",25,11,26.87858288111902,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1353,False,"{'a': 0.5, 'e': 0.066803486946766868}",30,13,14.076824286899441,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
1354,False,"{'a': 0.5, 'e': 0.066670013490820426}",25,13,19.92692609415474,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1355,False,"{'a': 0.5, 'e': 0.066536806715016855}",25,17,4.712916353006565,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
1356,False,"{'a': 0.5, 'e': 0.066403866086528832}",20,14,10.028042506518133,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1357,False,"{'a': 0.5, 'e': 0.066271191073593722}",20,8,21.28927096820007,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1358,False,"{'a': 0.5, 'e': 0.06613878114551125}",20,11,15.533002999675645,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1359,False,"{'a': 0.5, 'e': 0.066006635772641556}",20,2,31.764677833556384,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
1360,False,"{'a': 0.5, 'e': 0.065874754426402948}",20,14,12.394048401317509,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1361,False,"{'a': 0.5, 'e': 0.065743136579269904}",20,6,24.54243856138752,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1362,False,"{'a': 0.5, 'e': 0.065611781704770805}",30,14,16.305584650121506,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
1363,False,"{'a': 0.5, 'e': 0.065480689277486029}",20,8,24.689048263657376,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1364,False,"{'a': 0.5, 'e': 0.065349858773045652}",25,12,22.11310721917148,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1365,False,"{'a': 0.5, 'e': 0.065219289668127525}",30,15,21.722508037174556,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
1366,False,"{'a': 0.5, 'e': 0.065088981440454996}",25,0,25.554752430177572,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
